file	model	alpha	rate	ci_lower	ci_upper	n_variants
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0464674382449473	0.0410449773853673	0.0518898991045273	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.00950077733632752	0.00700180794866228	0.0119997467239928	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00120918984280532	0.000313951219547245	0.0021044284660634	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0464674382449473	0.0410449773853673	0.0518898991045273	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.00950077733632752	0.00700180794866228	0.0119997467239928	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.00155467265503541	0.000539743049833871	0.00256960226023695	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0504404905855934	0.0448027506127345	0.0560782305584522	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.0108827085852479	0.00821003024814654	0.0135553869223492	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.00138193124892037	0.000424963668644532	0.0023388988291962	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0530316116773191	0.0472587726133137	0.0588044507413244	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.011400932803593	0.0086660760250925	0.0141357895820935	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00120918984280532	0.000313951219547245	0.0021044284660634	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0.000345482812230092	0	0.00082421484300216	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
